feature,importance
vibration_mm_s,0.1743671578065994
vibration_mm_s_slope_3d,0.16489341486545936
temperature_c_slope_3d,0.14221490735231368
vibration_mm_s_roll_std_3d,0.11537614069990636
temperature_c_roll_std_3d,0.08012729016998134
vibration_mm_s_roll_mean_3d,0.07874574560138763
vibration_mm_s_roll_mean_7d,0.05401929833347016
current_a_slope_3d,0.03268025069877267
temperature_c,0.031414753974100075
rpm_slope_3d,0.025651353765065985
current_a_roll_std_3d,0.020104872956186112
temperature_c_roll_mean_3d,0.01987275236184404
temperature_c_roll_mean_7d,0.009587335879402166
current_a_roll_mean_3d,0.0074848477605794
current_a,0.0068359177859850205
current_a_roll_mean_7d,0.006373121058404024
rpm_roll_std_3d,0.005988453000240734
pressure_roll_mean_3d,0.005945277462393782
rpm,0.0051998122345175216
rpm_roll_mean_3d,0.005106186859120308
rpm_roll_mean_7d,0.003265443878957106
hours_since_maintenance,0.0013872808176265364
has_pressure,0.001165323464924488
ambient_temp_c,0.0008815512290665342
ambient_humidity_pct,0.0007647075392602849
pressure_slope_3d,0.0005468024444353395
